ID,Listing Name,Host ID,Host Name,Borough,Neighborhood,Latitude,Longitude,Room Type,Price,Min Nights,Number of Reviews,Last Review,Reviews Per Month,Listings Per Host,Days Available
4849703,Wonderful Loft In heart of Bushwick,21209568,Greg,Brooklyn,Bushwick,40.70516054,-73.91946146,Entire home/apt,100,5,0,,,1,139
4456555,Peaceful sunny master bedroom,747671,Sarah Jazmine,Brooklyn,South Slope,40.6634651,-73.98438172,Private room,110,1,1,2/11/2014,0.1,1,189
4727912,"Cosy 2 bed, Gramercy, NYC Apartment",24415699,Charlie,Manhattan,Civic Center,40.71207418,-74.00691228,Entire home/apt,199,6,0,,,1,155
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,40.7424628,-74.00196406,Private room,125,4,88,7/05/2015,1.7,1,245
1058056,apartment in Soho ,5826912,Atay,Manhattan,SoHo,40.7258021,-74.00267056,Entire home/apt,250,1,0,,,1,365
4597234,1BR IN BEST NEIGHBORHOOD IN NYC,6526081,Christian,Manhattan,Upper West Side,40.77901944,-73.97935633,Entire home/apt,375,3,1,11/05/2015,1,2,352
3810803,Cozy Private Room in Williamsburg,18065544,Nate,Brooklyn,Williamsburg,40.70731382,-73.94089369,Private room,55,1,42,22/05/2015,5.3,5,308
281192,Designer loft in hip Williamsburg,34128,Solange,Brooklyn,Williamsburg,40.71835479,-73.95454125,Entire home/apt,170,2,18,11/05/2015,0.5,1,151
818084,Gorgeous sunny prime SoHo 1BR Apt.,128256,Annie + Dan,Manhattan,SoHo,40.72670257,-74.00158546,Entire home/apt,260,2,16,15/05/2015,0.6,1,320
786967,Best Location! 1br West Village NY,4148361,Andrea,Manhattan,West Village,40.72970108,-74.00454816,Entire home/apt,160,2,8,22/03/2015,0.3,1,127
4745419,Amazing Riverviews,24492696,Carolina,Manhattan,Hell's Kitchen,40.75791433,-73.99489514,Private room,145,5,1,3/01/2015,0.2,1,349
6170409,Young's Twin bed studio,30669346,Young,Manhattan,Midtown,40.74802677,-73.98872522,Entire home/apt,189,3,2,30/05/2015,2,4,306
2255211,Best Price for 2 BDR & 2 Full Bath ,10836508,James,Manhattan,Hell's Kitchen,40.76244764,-73.98999146,Entire home/apt,240,2,34,18/05/2015,2.3,3,206
4719391,Brand new 1 bedrm on the Highline! ,19914378,Charlotte,Manhattan,Chelsea,40.75252042,-74.00092751,Entire home/apt,285,12,0,,,1,155
1573724,"Pretty studio, GREAT PRICE NYC !!!",1412484,Robinson,Manhattan,Washington Heights,40.84921359,-73.93428076,Entire home/apt,80,5,24,28/04/2015,1.1,4,226
